0,-0.069875
20.8,-0.054203
41.8,-0.039653
62.8,-0.051011
83.8,-0.036437
104.8,-0.048239
125.8,-0.033665
146.8,-0.045875
167.8,-0.031328
188.8,-0.04391
209.8,-0.029415
230.8,-0.042334
251.8,-0.02792
272.8,-0.041141
293.8,-0.026836
314.8,-0.040325
335.8,-0.026158
356.8,-0.039883
377.8,-0.025884
398.8,-0.037107
419.8,-0.018778
440.8,-0.029569
461.8,-0.010975
482.8,-0.02273
503.8,-0.0038952
524.8,-0.016543
545.8,0.0025076
566.8,-0.010966
587.8,0.0082754
604.6,0.010409
621.5,0.020106
640,0.31844
657.4,0.32028
672.2,0.32178
691.1,0.011237
710,0.32529
726.8,0.32673
745,0.32819
763.2,0.32956
781.6,0.32186
799.6,0.33205
817.8,0.33316
836,0.33419
852.8,0.33508
871.6,0.33599
890.6,0.33682
907.4,0.33749
925.6,0.33814
943.8,0.33872
962,0.33922
980.2,0.33966
998.4,0.34002
1016.6,0.34031
1033.4,0.34053
1051.6,0.34971
1070.9,0.037869
1088,0.34081
1106.2,0.34076
1124.4,0.34065
1142.6,0.34047
1160.8,0.34023
1179,0.33991
1197.2,0.33953
1214,0.33912
1232.2,0.33861
1251.1,0.044358
1268.6,0.33738
1286.8,0.33665
1305,0.33586
1322.9,0.032537
1340.9,0.03164
1359.6,0.33304
1377.8,0.33195
1394.6,0.33088
1412.8,0.32964
1431.6,0.32828
1449.2,0.32693
1467.4,0.32545
1485.6,0.32388
1503.1,0.011157
1520.9,0.0096456
1536.9,0.31016
1551.7,0.33328
1569.1,0.30685
1584.5,0.30516
1600.9,0.0097134
1617.2,0.30982
1631.2,0.0059285
1648.2,0.30575
1662,0.30384
1679.5,0.30887
1691.2,-0.0024681
1707.7,0.28908
1721.7,0.28693
1739.2,0.29191
1750.9,-0.003058
1766,0.28725
1781,-0.01748
1797.5,0.28817
1810.9,0.0099999
1824.6,0.27605
1840.9,0.0099998
1854.9,0.28568
1868.4,0.28154
