Time;Active Instrument A Channel 4 Voltage Avg;Active Instrument A Channel 4 Current Avg;Active Instrument A Channel 4 Power Avg
0.83091456;0.823735237;0.107464693;0.088522455
0.83191808;0.830698967;0.10745535;0.089263049
0.8329216;0.837702692;0.107392289;0.089962809
0.83392512;0.844799757;0.107359849;0.090697574
0.83492864;0.851762593;0.10738074;0.091462898
0.83593216;0.858768165;0.107402667;0.092233992
0.83693568;0.86566186;0.107409418;0.092980236
0.8379392;0.872923374;0.107418887;0.093768458
0.83894272;0.879955292;0.107411362;0.094517197
0.83994624;0.887008607;0.107358813;0.095228191
0.84094976;0.89403075;0.107327677;0.095954244
0.84195328;0.900958478;0.107302502;0.096675099
0.8429568;0.908123732;0.107293285;0.097435579
0.84396032;0.915080607;0.107303932;0.098191748
0.84496384;0.922133923;0.107331567;0.098974078
0.84596736;0.929053009;0.107349209;0.099733106
0.84697088;0.936194837;0.10733182;0.100483496
0.8479744;0.943098247;0.107301719;0.101196064
0.84897792;0.950129151;0.10727343;0.101923613
0.84998144;0.957135737;0.107232697;0.102636247
0.85098496;0.96410048;0.107234895;0.103385214
0.85198848;0.971101284;0.107245408;0.104146153
0.852992;0.978144825;0.107250467;0.104906489
0.85399552;0.98525548;0.107263841;0.105682287
0.85499904;0.992121041;0.107256182;0.106411114
0.85600256;0.999160707;0.107216351;0.107126365
0.85700608;1.006257772;0.107196495;0.107867306
0.8580096;1.013219595;0.107186377;0.108603338
0.85901312;1.020233989;0.107168987;0.109337443
0.86001664;1.027314425;0.10714706;0.110073721
0.86102016;1.034465075;0.107158214;0.11085143
0.86202368;1.041541696;0.107183903;0.111636505
0.8630272;1.048539639;0.107190788;0.11239379
0.86403072;1.055519938;0.107161716;0.113111327
0.86503424;1.062422395;0.107142255;0.113830331
0.86603776;1.06950295;0.107121624;0.114566893
0.86704128;1.076581478;0.107096583;0.115298197
0.8680448;1.083560824;0.107071549;0.116018536
0.86904832;1.090716362;0.107075691;0.116789208
0.87005184;1.097628593;0.107116438;0.117574066
0.87105536;1.104610801;0.107112668;0.11831781
0.87205888;1.111667991;0.107097492;0.119056853
0.8730624;1.118659019;0.10709165;0.119799041
0.87406592;1.125670433;0.107036516;0.120487841
0.87506944;1.132842422;0.107006148;0.121221103
0.87607296;1.139757633;0.106981494;0.121932974
0.87707648;1.146714449;0.107001215;0.12269984
0.87808;1.153776646;0.107020944;0.123478266
0.87908352;1.160804629;0.107035346;0.124247126
0.88008704;1.167839408;0.107026905;0.124990237
0.88109056;1.174841166;0.106999658;0.125707603
0.88209408;1.181770802;0.106990583;0.126438347
0.8830976;1.189041138;0.106952824;0.127171307
0.88410112;1.196148872;0.106917009;0.127888659
0.88510464;1.203113675;0.106918432;0.128635027
