Time;Active Instrument A Channel 4 Voltage Avg;Active Instrument A Channel 4 Current Avg;Active Instrument A Channel 4 Power Avg;
0.88911872;0.730898976;0.024071647;0.017593942;
0.89012224;0.737759471;0.02404907;0.017742429;
0.89112576;0.744938374;0.024032332;0.017902606;
0.89212928;0.751932263;0.024055038;0.018087759;
0.8931328;0.75880754;0.024061527;0.018258068;
0.89413632;0.765943587;0.024045827;0.018417747;
0.89513984;0.772856712;0.024057116;0.018592704;
0.89614336;0.77994895;0.024053613;0.01876059;
0.89714688;0.786880553;0.024045048;0.018920581;
0.8981504;0.794010699;0.024029607;0.019079765;
0.89915392;0.800993919;0.024024807;0.019243724;
0.90015744;0.807926595;0.024033371;0.0194172;
0.90116096;0.814959466;0.02402818;0.019581993;
0.90216448;0.822146058;0.02402273;0.019750193;
0.903168;0.82894057;0.024044789;0.019931701;
0.90417152;0.836031795;0.024016112;0.020078233;
0.90517504;0.843183398;0.024003917;0.020239705;
0.90617856;0.850128651;0.0240034;0.020405978;
0.90718208;0.857155621;0.023989514;0.020562746;
0.9081856;0.864053249;0.023990033;0.020728666;
0.90918912;0.871166945;0.024005733;0.020913001;
0.91019264;0.878495574;0.024001064;0.021084828;
0.91119616;0.885373712;0.023992758;0.021242557;
0.91219968;0.892340362;0.02399626;0.021412831;
0.9132032;0.899446309;0.02400716;0.021593152;
0.91420672;0.906407118;0.023992758;0.021747207;
0.91521024;0.913423419;0.023982769;0.021906423;
0.91621376;0.920505941;0.023962917;0.022058007;
0.91721728;0.927575707;0.023947475;0.022213097;
0.9182208;0.934556067;0.02396097;0.02239287;
0.91922432;0.941633701;0.023954742;0.022556592;
0.92022784;0.948588729;0.023972776;0.022740305;
0.92123136;0.955627441;0.023949292;0.0228866;
0.92223488;0.962564886;0.023952406;0.023055745;
0.9232384;0.969602644;0.023949681;0.023221674;
0.92424192;0.97645545;0.023948513;0.023384656;
0.92524544;0.983598292;0.0239345;0.023541934;
0.92624896;0.990660369;0.023921523;0.023698105;
0.92725248;0.99765718;0.023948254;0.023892148;
0.928256;1.004602432;0.02391828;0.024028363;
0.92925952;1.011669397;0.02393424;0.024213538;
0.93026304;1.018754721;0.023933461;0.024382326;
0.93126656;1.025697231;0.023931127;0.024546091;
0.93227008;1.032850742;0.023896871;0.024681901;
0.9332736;1.039953589;0.023898946;0.024853795;
0.93427712;1.046881437;0.023911014;0.025031997;
0.93528064;1.053998947;0.023904657;0.025195483;
0.93628416;1.060980201;0.023901025;0.025358514;
0.93728768;1.068113327;0.023903361;0.025531498;
0.9382912;1.075027466;0.023893887;0.025686585;
0.93929472;1.082054496;0.023891034;0.0258514;
0.94029824;1.089039683;0.023890125;0.026017294;
0.94130176;1.096182466;0.023887791;0.026185377;
0.94230528;1.103018761;0.023876112;0.026335799;
0.9433088;1.11014998;0.023877669;0.026507794;
0.94431232;1.117214918;0.023895444;0.026696347;
0.94531584;1.124014139;0.02389246;0.026855463;
0.94631936;1.131067514;0.023853665;0.026980106;
0.94732288;1.138295889;0.023862099;0.02716213;
0.9483264;1.145213962;0.023861839;0.027326911;
0.94932992;1.152269125;0.023853924;0.02748614;
0.95033344;1.159343958;0.023839522;0.027638206;
0.95133696;1.166235685;0.023857167;0.027823079;
0.95234048;1.173287034;0.023859764;0.027994351;
0.953344;1.180290699;0.023841858;0.028140323;
0.95434752;1.187498808;0.023836149;0.028305398;
0.95535104;1.194550991;0.023833683;0.028470549;
0.95635456;1.201560497;0.023844711;0.028650863;
0.95735808;1.208623648;0.023828102;0.028799208;
0.9583616;1.215647697;0.023813054;0.028948284;
0.95936512;1.222540379;0.02382512;0.029127171;
0.96036864;1.229591727;0.0238089;0.029275227;
0.96137216;1.23669076;0.023820059;0.029458047;
0.96237568;1.243757725;0.023808772;0.029612344;
0.9633792;1.250750661;0.023810197;0.029780619;
0.96438272;1.257698894;0.023803061;0.029937083;
0.96538624;1.264770627;0.023781912;0.030078664;
0.96638976;1.271711111;0.023778798;0.030239762;
0.96739328;1.278879166;0.023779836;0.030411536;
0.9683968;1.285901308;0.023779187;0.030577688;
0.96940032;1.293022752;0.023784377;0.03075374;
0.97040384;1.299720883;0.023762709;0.030884889;
0.97140736;1.306932688;0.023767378;0.031062363;
0.97241088;1.313848853;0.023761282;0.031218733;
0.9734144;1.320856571;0.023743376;0.031361594;
0.97441792;1.328040123;0.023737926;0.031524918;
0.97542144;1.33496201;0.023745323;0.031699104;
0.97642496;1.342045546;0.023755183;0.031880538;
0.97742848;1.348997593;0.023750251;0.032039032;
0.978432;1.356109262;0.023762189;0.032224124;
0.97943552;1.363152981;0.02374104;0.03236267;
0.98043904;1.370218873;0.023751291;0.032544467;
0.98144256;1.377281785;0.023730399;0.032683446;
0.98244608;1.384286523;0.023708472;0.032819318;
0.9834496;1.391356349;0.023712365;0.03299235;
0.98445312;1.39819169;0.023711197;0.033152799;
0.98545664;1.405313015;0.023723913;0.033339524;
0.98646016;1.412269115;0.023714051;0.033490621;
0.98746368;1.41936028;0.023697056;0.03363466;
0.9884672;1.426356077;0.023691084;0.033791922;
0.98947072;1.433392882;0.023657352;0.03391028;
0.99047424;1.440390706;0.023676682;0.034103673;
0.99147776;1.44733417;0.02368395;0.034278591;
0.99248128;1.454310536;0.023667471;0.034419853;
0.9934848;1.461328745;0.023681225;0.034606055;
0.99448832;1.468395591;0.023690566;0.034787123;
0.99549184;1.475658178;0.023657609;0.034910544;
0.99649536;1.482586861;0.023667082;0.035088505;
0.99749888;1.489493251;0.023647878;0.035223355;
0.9985024;1.496641994;0.023642818;0.035384834;
0.99950592;1.503615379;0.023631917;0.035533314;
1.00050944;1.510777712;0.023651123;0.03573159;
1.00151296;1.517798901;0.023642948;0.03588524;
1.00251648;1.524744153;0.023638535;0.036042718;
1.00352;1.531701207;0.023644764;0.036216714;
1.00452352;1.538818717;0.023621408;0.036349065;
1.00552704;1.545747399;0.023615701;0.036503909;
1.00653056;1.552809477;0.023617387;0.036673302;
1.00753408;1.559931874;0.023609731;0.036829572;
1.0085376;1.566862583;0.02359481;0.036969824;
1.00954112;1.573879957;0.023606488;0.037153779;
1.01054464;1.580941916;0.023603892;0.037316382;
1.01154816;1.587965965;0.023592863;0.037464664;
1.01255168;1.595040798;0.023579629;0.03761047;
1.0135552;1.601941109;0.023588063;0.037786688;
1.01455872;1.608948827;0.023567302;0.037918583;
1.01556224;1.615839601;0.023555495;0.038061901;
1.01656576;1.62311089;0.023556923;0.038235499;
1.01756928;1.629988074;0.023554588;0.038393697;
1.0185728;1.637105465;0.023574568;0.038594055;
1.01957632;1.643995285;0.023546802;0.038710831;
1.02057984;1.650920153;0.023537328;0.03885825;
1.02158336;1.658130288;0.023561073;0.03906733;
1.02258688;1.665266275;0.023538757;0.039198298;
1.0235904;1.672342896;0.023517998;0.039330157;
1.02459392;1.679464221;0.023519034;0.039499375;
1.02559744;1.686356068;0.023502039;0.039632806;
1.02660096;1.693421006;0.023515401;0.039821475;
1.02760448;1.700410008;0.023530843;0.04001208;
1.028608;1.707409859;0.02350606;0.040134479;
1.02961152;1.714380383;0.023503853;0.040294545;
1.03061504;1.721454263;0.023487248;0.040432222;
1.03161856;1.728435397;0.023472195;0.040570174;
1.03262208;1.735424399;0.023472713;0.040735119;
1.0336256;1.74253726;0.023463503;0.040886027;
1.03462912;1.749537826;0.023467785;0.041057777;
1.03563264;1.756636977;0.023494381;0.041271099;
1.03663616;1.763363242;0.023453122;0.041356373;
1.03763968;1.770547032;0.023468303;0.041551733;
1.0386432;1.777653694;0.023458831;0.041701678;
1.03964672;1.784470558;0.02347479;0.041890072;
1.04065024;1.791511178;0.023435345;0.041984682;
1.04165376;1.798552871;0.023422759;0.04212707;
1.04265728;1.805470943;0.023433398;0.04230832;
1.0436608;1.812606931;0.023431584;0.042472252;
1.04466432;1.8196944;0.023420034;0.042617305;
1.04566784;1.826840043;0.023415104;0.042775649;
1.04667136;1.83368516;0.023403814;0.042915227;
1.04767488;1.840811253;0.023402389;0.043079381;
1.0486784;1.847836375;0.023400702;0.043240668;
1.04968192;1.854878902;0.023408486;0.043419906;
1.05068544;1.86192739;0.023378385;0.043528856;
1.05168896;1.868859172;0.023377087;0.043688483;
1.05269248;1.876145959;0.023388376;0.043880008;
1.053696;1.882983208;0.023380201;0.044024526;
1.05469952;1.889938235;0.023382666;0.044191794;
1.05570304;1.896945834;0.023390323;0.044370176;
1.05670656;1.903973818;0.023366189;0.044488611;
1.05771008;1.910881162;0.023339199;0.044598436;
1.0587136;1.91809392;0.023337124;0.044762795;
1.05971712;1.924992561;0.023353344;0.044955013;
1.06072064;1.93196702;0.023346854;0.045105353;
1.06172416;1.939042687;0.023347633;0.045272057;
1.06272768;1.946182609;0.023353083;0.045449364;
1.0637312;1.953038454;0.023354769;0.045612761;
1.06473472;1.960042;0.023322592;0.045713259;
1.06573824;1.967098355;0.023297159;0.045827803;
1.06674176;1.974131107;0.023310136;0.046017265;
1.06774528;1.981272936;0.023306502;0.046176542;
1.0687488;1.988280654;0.023316622;0.046359988;
1.06975232;1.995238423;0.023328042;0.046545005;
1.07075584;2.002351046;0.023289373;0.046633501;
1.07175936;2.009406328;0.023285612;0.046790257;
1.07276288;2.01636529;0.023279125;0.046939219;
1.0737664;2.023395061;0.023287559;0.047119932;
1.07476992;2.030292749;0.023259791;0.047224184;
1.07577344;2.037431717;0.023268096;0.047407157;
1.07677696;2.044475317;0.023285741;0.047607123;
1.07778048;2.051410913;0.023278346;0.047753454;
1.078784;2.058437824;0.023254341;0.047867614;
1.07978752;2.065521479;0.023248892;0.048021086;
1.08079104;2.072591305;0.023220086;0.048125749;
1.08179456;2.079511166;0.023228003;0.048302891;
1.08279808;2.08642745;0.023203868;0.048413188;
1.0838016;2.093497038;0.023225019;0.048621508;
1.08480512;2.100455046;0.023210745;0.048753127;
1.08580864;2.107614279;0.02321944;0.048937624;
1.08681216;2.114547968;0.023212044;0.04908298;
1.08781568;2.121667624;0.023216844;0.049258425;
1.0888192;2.128534794;0.023209188;0.049401564;
1.08982272;2.135727406;0.023192061;0.049531921;
1.09082624;2.14279151;0.023195306;0.049702704;
1.09182976;2.149870872;0.02318285;0.049840135;
1.09283328;2.156859159;0.023180125;0.049996266;
1.0938368;2.163888931;0.023165852;0.05012833;
1.09484032;2.170978308;0.023177918;0.050318757;
1.09584384;2.17796731;0.02315638;0.050433839;
1.09684736;2.184895992;0.023136657;0.050551189;
1.09785088;2.192063332;0.023160791;0.050769921;
1.0988544;2.198874235;0.023141328;0.05088487;
1.09985792;2.206050158;0.02311369;0.05098996;
1.10086144;2.21316576;0.023125887;0.051181421;
1.10186496;2.219997168;0.023131726;0.051352367;
1.10286848;2.226923943;0.02313043;0.051509708;
1.103872;2.234011173;0.023134971;0.051683784;
1.10487552;2.241051912;0.023119919;0.051812939;
1.10587904;2.248000145;0.023126408;0.05198817;
1.10688256;2.25514102;0.023109021;0.0521141;
1.10788608;2.262178659;0.023086961;0.052226831;
1.1088896;2.269251347;0.023089686;0.052396302;
1.10989312;2.276154995;0.023086183;0.05254773;
1.11089664;2.283196688;0.023094228;0.052728664;
1.11190016;2.290228367;0.023077101;0.05285183;
1.11290368;2.297299385;0.023086572;0.053036768;
1.1139072;2.304490805;0.023054654;0.053129238;
1.11491072;2.311527491;0.023062959;0.053310664;
1.11591424;2.318473577;0.023052838;0.053447395;
1.11691776;2.325505733;0.023044921;0.053591097;
1.11792128;2.332422733;0.023063866;0.053794686;
1.1189248;2.339545965;0.023085926;0.054010584;
1.11992832;2.346530199;0.023047518;0.054081697;
1.12093184;2.353585482;0.023047647;0.054244606;
1.12193536;2.360616446;0.023031818;0.054369288;
1.12293888;2.367708683;0.023024291;0.054514813;
1.1239424;2.374650955;0.023001326;0.054620121;
1.12494592;2.381711006;0.023005478;0.0547924;
1.12594944;2.388794661;0.022998732;0.054939247;
1.12695296;2.395669699;0.02300496;0.055112286;
1.12795648;2.402799845;0.022996007;0.055254801;
1.12896;2.409780264;0.023003142;0.055432518;
1.12996352;2.416689396;0.023001585;0.055587687;
1.13096704;2.423769951;0.022973299;0.055681992;
1.13197056;2.430728912;0.022977192;0.055851325;
1.13297408;2.437874794;0.022979917;0.05602216;
1.1339776;2.444855928;0.022971742;0.056162599;
1.13498112;2.451942444;0.022951633;0.056276082;
1.13598464;2.459168911;0.022969149;0.056485017;
1.13698816;2.466228008;0.022953968;0.05660972;
1.13799168;2.473101139;0.022940733;0.056734752;
1.1389952;2.480134249;0.022955654;0.056933104;
1.13999872;2.487118483;0.022922307;0.057010494;
1.14100224;2.494012117;0.022931781;0.057192139;
1.14200576;2.501500368;0.022914782;0.057321336;
1.14300928;2.508514643;0.02291595;0.057484996;
1.1440128;2.515324831;0.022914004;0.057636162;
1.14501632;2.522274971;0.022918545;0.057806872;
1.14601984;2.529215336;0.022882475;0.057874706;
1.14702336;2.536238432;0.022908036;0.05810024;
1.14802688;2.543160439;0.022918545;0.058285536;
1.1490304;2.550241947;0.022884939;0.058362131;
1.15003392;2.557323456;0.022880528;0.058512911;
1.15103744;2.564409733;0.022883641;0.058683031;
1.15204096;2.571235418;0.022879099;0.058827551;
1.15304448;2.578267336;0.022867292;0.058957992;
1.154048;2.585175514;0.022866644;0.059114288;
1.15505152;2.592183113;0.022855876;0.059246616;
1.15605504;2.599345446;0.022849776;0.059394461;
1.15705856;2.606399775;0.022836152;0.059520143;
1.15806208;2.613364458;0.022829276;0.059661217;
1.1590656;2.620606422;0.022834595;0.059840487;
1.16006912;2.627416611;0.022848869;0.060033497;
1.16107264;2.634633303;0.022845883;0.060190524;
1.16207616;2.641688347;0.022828886;0.060306803;
1.16307968;2.648624897;0.022826551;0.06045897;
1.1640832;2.655720234;0.022798913;0.060547534;
1.16508672;2.662763834;0.022808904;0.060734724;
1.16609024;2.669678926;0.022797745;0.060862659;
1.16709376;2.67675066;0.022818765;0.061080143;
1.16809728;2.683698893;0.022809424;0.061213625;
1.1691008;2.690585613;0.022815393;0.061386769;
1.17010432;2.697752953;0.022785939;0.061470835;
1.17110784;2.704809904;0.022792295;0.061648824;
1.17211136;2.711726189;0.022773093;0.061754392;
1.17311488;2.718767643;0.022769719;0.061905576;
1.1741184;2.725804567;0.022765048;0.062053071;
1.17512192;2.732801437;0.022763101;0.062207036;
1.17612544;2.739865303;0.022754408;0.062344014;
1.17712896;2.746784449;0.02276946;0.0625428;
1.17813248;2.754012823;0.022763101;0.062689873;
1.179136;2.761027336;0.022756744;0.062831993;
1.18013952;2.768040657;0.022763491;0.063010268;
1.18114304;2.775075436;0.022734428;0.063089752;
1.18214656;2.782135725;0.022718079;0.06320478;
1.18315008;2.789007902;0.022713667;0.063348596;
1.1841536;2.796205282;0.022710424;0.063503007;
1.18515712;2.803277969;0.022701081;0.06363744;
1.18616064;2.810235739;0.022702377;0.063799032;
1.18716416;2.817247391;0.022687718;0.063916915;
1.18816768;2.824044704;0.022686161;0.064066733;
1.1891712;2.83117485;0.022685383;0.064226284;
1.19017472;2.838317871;0.022670459;0.064345969;
1.19117824;2.845225096;0.022661116;0.064475976;
1.19218176;2.852421284;0.022639578;0.064577615;
1.19318528;2.859421968;0.022653721;0.064776548;
1.1941888;2.866291523;0.02263945;0.064891263;
1.19519232;2.873296022;0.022635037;0.065037162;
1.19619584;2.880231619;0.022636853;0.06519938;
1.19719936;2.887207031;0.022623491;0.065318701;
1.19820288;2.894346952;0.022595853;0.065400237;
1.1992064;2.901380062;0.022578595;0.065509086;
1.20020992;2.90823555;0.022595074;0.065711798;
1.20121344;2.915389061;0.022585472;0.065845438;
1.20221696;2.922481298;0.022599226;0.066045815;
1.20322048;2.929582357;0.022595074;0.06619413;
1.204224;2.936759233;0.02258184;0.066317427;
1.20522752;2.943691015;0.022549789;0.066379612;
1.20623104;2.950784206;0.02256017;0.066570193;
1.20723456;2.957760572;0.022554072;0.066709544;
1.20823808;2.964656353;0.022527734;0.066786989;
1.2092416;2.971723318;0.022547714;0.067005569;
1.21024512;2.978748322;0.022538373;0.067136141;
1.21124864;2.985804319;0.022520727;0.067242483;
1.21225216;2.992758512;0.022509439;0.067365315;
1.21325568;2.999813795;0.022495816;0.067483258;
1.2142592;3.006662846;0.022491144;0.067623287;
1.21526272;3.014059544;0.022475831;0.067743494;
1.21626624;3.020866632;0.02247142;0.067883164;
1.21726976;3.027852535;0.022465453;0.068022077;
1.21827328;3.034986734;0.022465453;0.06818235;
1.2192768;3.041895866;0.022452608;0.068298495;
1.22028032;3.049094439;0.022448454;0.068447456;
1.22128384;3.055997849;0.022451051;0.068610362;
1.22228736;3.062984943;0.022439241;0.068731059;
1.22329088;3.069943905;0.022408621;0.068793211;
1.2242944;3.077007771;0.022397202;0.068916363;
1.22529792;3.084136009;0.022385007;0.069038405;
1.22630144;3.091260433;0.022378517;0.069177825;
1.22730496;3.098293304;0.022376703;0.069329589;
1.22830848;3.105238676;0.022365933;0.069451561;
1.229312;3.112277269;0.022392273;0.069690962;
1.23031552;3.119369507;0.022369435;0.069778534;
1.23131904;3.126118183;0.022343617;0.069848787;
1.23232256;3.133230686;0.022325322;0.069950384;
1.23332608;3.14050293;0.022316368;0.07008462;
1.2343296;3.147544622;0.022308972;0.070218484;
1.23533312;3.154505491;0.022299888;0.070345118;
1.23633664;3.161558867;0.022307545;0.070526617;
1.23734016;3.168412447;0.022276664;0.07058166;
1.23834368;3.175497055;0.022271214;0.070722175;
1.2393472;3.182595968;0.022246432;0.070801403;
1.24035072;3.189663887;0.02222684;0.07089615;
1.24135424;3.196703434;0.022230862;0.071065472;
1.24235776;3.203570843;0.022201149;0.071122953;
1.24336128;3.210738182;0.022228137;0.071368727;
1.2443648;3.217667818;0.022192974;0.071409617;
1.24536832;3.224805832;0.022186225;0.071546269;
1.24637184;3.231839895;0.02217922;0.071679688;
1.24737536;3.238907814;0.022165205;0.071791057;
1.24837888;3.246066093;0.022146264;0.071888237;
1.2493824;3.253028631;0.022123037;0.071966872;
1.25038592;3.260040283;0.022122778;0.072121147;
1.25138944;3.266950607;0.022138089;0.072324043;
1.25239296;3.274067163;0.022123037;0.072432309;
1.25339648;3.281091213;0.022098126;0.072505967;
1.2544;3.288060665;0.022089433;0.072631396;
1.25540352;3.29511404;0.022061665;0.072695701;
1.25640704;3.302016497;0.022066077;0.072862551;
1.25741056;3.309103727;0.022054918;0.072982012;
1.25841408;3.316162109;0.022044538;0.07310326;
1.2594176;3.323082209;0.022039607;0.073239426;
1.26042112;3.330297947;0.021994194;0.073247219;
1.26142464;3.33717227;0.022007039;0.07344128;
1.26242816;3.344328642;0.022005484;0.073593569;
1.26343168;3.351151228;0.021977456;0.07364978;
1.2644352;3.358174324;0.021976028;0.073799332;
1.26543872;3.36530447;0.021939049;0.073831578;
1.26644224;3.372245073;0.021943074;0.073997422;
1.26744576;3.379339218;0.021924647;0.074090818;
1.26844928;3.386205673;0.021897659;0.074149976;
1.2694528;3.393307447;0.021888707;0.074275112;
1.27045632;3.400297403;0.021888446;0.074427226;
1.27145984;3.407340288;0.021885332;0.074570772;
1.27246336;3.41445756;0.021851467;0.074610907;
1.27346688;3.421509981;0.021842903;0.074735709;
1.2744704;3.428578854;0.021823961;0.074825172;
1.27547392;3.435591459;0.02179243;0.074869888;
1.27647744;3.442560911;0.021794118;0.075027579;
1.27748096;3.449577093;0.02176116;0.0750668;
1.27848448;3.456693649;0.021745589;0.075167838;
1.279488;3.463708878;0.021749482;0.075333872;
1.28049152;3.470691204;0.021728333;0.075412335;
1.28149504;3.477724314;0.021689018;0.075428426;
1.28249856;3.484761238;0.021675134;0.075532667;
1.28350208;3.491627693;0.021665273;0.075647068;
1.2845056;3.49862051;0.02164088;0.075713227;
1.28550912;3.505684376;0.021648536;0.075892933;
1.28651264;3.512738705;0.021625569;0.075964974;
1.28751616;3.519549608;0.021610649;0.076059752;
1.28851968;3.526814938;0.021592354;0.076152238;
1.2895232;3.533786774;0.021570295;0.076224824;
1.29052672;3.540758133;0.021540713;0.076270453;
1.29153024;3.54785037;0.021512296;0.076322408;
1.29253376;3.554832697;0.021496337;0.076415881;
1.29353728;3.561987162;0.021504901;0.076600183;
1.2945408;3.56896472;0.021485828;0.076682162;
1.29554432;3.575962305;0.021414593;0.076577777;
1.29654784;3.58311224;0.021412387;0.076722988;
1.29755136;3.590077877;0.021409795;0.07686283;
1.29855488;3.597095013;0.02136334;0.076845965;
1.2995584;3.604020834;0.021360617;0.076984109;
1.30056192;3.611176491;0.021331033;0.077030124;
1.30156544;3.618111849;0.021339986;0.077210458;
1.30256896;3.625315189;0.021281857;0.07715344;
1.30357248;3.632344246;0.021278745;0.077291725;
1.304576;3.639227152;0.021240987;0.077300776;
1.30557952;3.646274567;0.02121841;0.077368148;
1.30658304;3.653231621;0.021209195;0.077482103;
1.30758656;3.660309076;0.021196222;0.077584724;
1.30859008;3.667278767;0.021142377;0.077534989;
1.3095936;3.674300909;0.021123303;0.077613372;
1.31059712;3.681295633;0.021121746;0.077755391;
1.31160064;3.688130856;0.02108321;0.077757636;
1.31260416;3.695265055;0.021074645;0.0778764;
1.31360768;3.702344656;0.021052457;0.077943453;
1.3146112;3.709319115;0.021038834;0.078039749;
1.31561472;3.716312885;0.020996274;0.078028725;
1.31661824;3.723554373;0.02095696;0.078034378;
1.31762176;3.730618238;0.02093594;0.078103998;
1.31862528;3.737470865;0.020953456;0.078312931;
