Time;Active Instrument A Channel 4 Voltage Avg;Active Instrument A Channel 4 Current Avg;Active Instrument A Channel 4 Power Avg
0.77070336;0.820100605;0.069046669;0.056625215
0.77170688;0.827106178;0.069039531;0.057103023
0.7727104;0.834059238;0.069021106;0.057567691
0.77371392;0.841110528;0.069010466;0.05804543
0.77471744;0.848121047;0.068999045;0.058519542
0.77572096;0.855232716;0.068946108;0.058964967
0.77672448;0.862039864;0.068936512;0.059426021
0.777728;0.869040608;0.068963364;0.059931964
0.77873152;0.876353681;0.068946496;0.060421515
0.77973504;0.883280516;0.068959214;0.06091033
0.78073856;0.890359044;0.068956621;0.061396151
0.78174208;0.897293687;0.068972319;0.061888427
0.7827456;0.904444337;0.068959609;0.062370128
0.78374912;0.911440194;0.068901598;0.062799686
0.78475264;0.918368876;0.068895116;0.063271131
0.78575616;0.925493181;0.068896547;0.063763284
0.78675968;0.932387888;0.068891875;0.06423395
0.7877632;0.939522982;0.068886809;0.06472074
0.78876672;0.946438074;0.068897843;0.065207542
0.78977024;0.953500092;0.068893559;0.065690015
0.79077376;0.9604882;0.068894729;0.066172574
0.79177728;0.96743834;0.068868518;0.066626045
0.7927808;0.974587023;0.068849705;0.067100029
0.79378432;0.981418431;0.068837248;0.067558144
0.79478784;0.98857975;0.068847761;0.068061502
0.79579136;0.995570719;0.068835169;0.068530279
0.79679488;1.002588034;0.068850875;0.069029063
0.7977984;1.009561539;0.068834916;0.069493083
0.79880192;1.016598344;0.068842568;0.06998524
0.79980544;1.023592234;0.068848535;0.070472826
0.80080896;1.030693173;0.068801567;0.070913305
0.80181248;1.037896395;0.068751089;0.071356508
0.802816;1.044803739;0.068758227;0.071838853
0.80381952;1.05183959;0.068779767;0.072345281
0.80482304;1.05885005;0.068782493;0.072830347
0.80582656;1.065872192;0.068813249;0.073346129
0.80683008;1.073000431;0.068788722;0.073810329
0.8078336;1.079830885;0.068763547;0.074253001
0.80883712;1.086924911;0.068742789;0.07471825
0.80984064;1.093986034;0.068736039;0.075196267
0.81084416;1.10086906;0.068713985;0.0756451
0.81184768;1.107946754;0.068728514;0.076147534
0.8128512;1.114959121;0.068751611;0.076655236
0.81385472;1.121951103;0.068741105;0.077124159
0.81485824;1.128934383;0.068734609;0.077596863
0.81586176;1.136074305;0.068709962;0.078059622
0.81686528;1.143057585;0.068707883;0.078537067
0.8178688;1.150079727;0.068675704;0.078982535
0.81887232;1.157065749;0.068678558;0.079465607
0.81987584;1.164117098;0.068685442;0.079957898
0.82087936;1.171224952;0.068694912;0.080457195
0.82188288;1.178057313;0.068665326;0.080891689
0.8228864;1.185228348;0.068696596;0.081421153
0.82388992;1.19251132;0.068688422;0.081911721
0.82489344;1.199411869;0.068650797;0.082340581
0.82589696;1.20633769;0.068634965;0.082796945
0.82690048;1.213353992;0.068597466;0.083233009
0.827904;1.220386863;0.068610437;0.083731276
0.82890752;1.227474213;0.068592794;0.084195886
0.82991104;1.234619021;0.068628736;0.084730343
0.83091456;1.241647005;0.068637684;0.085223775
0.83191808;1.248491049;0.068620823;0.085672484
0.8329216;1.255519032;0.068593316;0.086120213
0.83392512;1.262511015;0.068575799;0.086577702
0.83492864;1.269753098;0.068553999;0.087046653
0.83593216;1.276626468;0.068539724;0.087499625
0.83693568;1.283560038;0.068535186;0.087969026
0.8379392;1.290684342;0.068565287;0.088496142
0.83894272;1.297557592;0.06854751;0.088944342
0.83994624;1.304622531;0.068525068;0.089399348
0.84094976;1.311726451;0.068534411;0.0898984
0.84195328;1.318609476;0.068524025;0.090356429
0.8429568;1.32547307;0.068484582;0.090774469
0.84396032;1.332721949;0.068481863;0.091267281
0.84496384;1.339826822;0.068490937;0.091765995
0.84596736;1.346833348;0.068484969;0.092237841
0.84697088;1.353945971;0.068506122;0.092753587
0.8479744;1.36087966;0.068506248;0.09322876
0.84897792;1.368044853;0.068510145;0.093724951
0.84998144;1.375013351;0.06846045;0.094134032
0.85098496;1.382050157;0.06844864;0.094599454
0.85198848;1.389124036;0.068431512;0.095059857
0.852992;1.396015763;0.068432942;0.095533466
0.85399552;1.403044701;0.068444617;0.096030857
0.85499904;1.410065889;0.068471864;0.09654984
0.85600256;1.417030692;0.068481863;0.097040901
0.85700608;1.424115062;0.06844034;0.09746692
0.8580096;1.43119657;0.06842126;0.097924272
0.85901312;1.438231349;0.06838052;0.098347007
0.86001664;1.445125937;0.068377279;0.098813779
0.86102016;1.452111244;0.068366639;0.099275966
0.86202368;1.459173203;0.068382211;0.09978149
0.8630272;1.466226578;0.068418413;0.100316896
0.86403072;1.473249793;0.068398692;0.100768358
0.86503424;1.480256319;0.06837637;0.101214553
0.86603776;1.487366915;0.068358079;0.101673544
0.86704128;1.494320035;0.068345234;0.102129652
0.8680448;1.501209855;0.068310454;0.102548327
0.86904832;1.508423805;0.068323687;0.103061076
0.87005184;1.51533103;0.068331085;0.103544214
0.87105536;1.522552848;0.068323299;0.104025834
0.87205888;1.529569983;0.068325378;0.104508447
0.8730624;1.536601901;0.068330698;0.10499708
0.87406592;1.543432474;0.068295926;0.10541015
0.87506944;1.550497293;0.068309031;0.105912968
0.87607296;1.557529211;0.068276204;0.106342182
0.87707648;1.564525008;0.06825687;0.10678958
0.87808;1.571507335;0.068237923;0.107236397
0.87908352;1.578569412;0.068260372;0.107753735
0.88008704;1.585575938;0.068264008;0.108237768
0.88109056;1.592674136;0.068259723;0.108715496
0.88209408;1.599747777;0.068256609;0.109193359
0.8830976;1.606644511;0.068250641;0.109654518
0.88410112;1.613705516;0.068215087;0.110079062
0.88510464;1.620870829;0.068181999;0.110514213
0.88610816;1.627784848;0.068178371;0.110979719
0.88711168;1.634731054;0.068209767;0.111504625
0.8881152;1.641864181;0.068199515;0.111974341
0.88911872;1.64867413;0.068190046;0.112423164
0.89012224;1.655839443;0.06820263;0.112932604
0.89112576;1.662887931;0.068170846;0.113360476
0.89212928;1.670052052;0.068146192;0.113807687
0.8931328;1.676995397;0.068111025;0.114221875
0.89413632;1.683981657;0.0681035;0.114685044
0.89513984;1.691041589;0.068119854;0.115193506
0.89614336;1.698039412;0.068132952;0.115692438
0.89714688;1.705160022;0.068148784;0.116204583
0.8981504;1.71207118;0.068132952;0.116648463
0.89915392;1.719146848;0.068110645;0.1170922
0.90015744;1.726183534;0.068082869;0.117523527
0.90116096;1.733082175;0.068072364;0.117975
0.90216448;1.740123868;0.06804888;0.118413479
0.903168;1.747030139;0.068065092;0.118911767
0.90417152;1.754146695;0.068068206;0.119401619
0.90517504;1.761050224;0.068083785;0.119898966
0.90617856;1.768085837;0.068066001;0.120346532
0.90718208;1.775149941;0.068038501;0.120778541
0.9081856;1.782270312;0.068028763;0.121245645
0.90918912;1.789174795;0.068003982;0.121671011
0.91019264;1.79612112;0.067972586;0.122086997
0.91119616;1.803267837;0.067990489;0.122605063
0.91219968;1.810192466;0.067996718;0.123087147
0.9132032;1.817344189;0.067984782;0.123551749
0.91420672;1.824578404;0.067995422;0.124062978
0.91521024;1.831468225;0.067991786;0.124524795
0.91621376;1.838440895;0.067961939;0.124944007
0.91721728;1.845563173;0.067944035;0.125395009
0.9182208;1.852502584;0.067900442;0.125785744
0.91922432;1.859510183;0.067909658;0.126278701
0.92022784;1.866628647;0.067910433;0.126763559
0.92123136;1.87354672;0.067914449;0.127240893
0.92223488;1.880663157;0.067915238;0.127725687
0.9232384;1.887676597;0.06790667;0.128185832
0.92424192;1.894585848;0.067914456;0.128669767
0.92524544;1.901672363;0.067887858;0.129100463
0.92624896;1.908661366;0.067856066;0.129514251
0.92725248;1.915819764;0.06781026;0.129912236
0.928256;1.922699928;0.067811817;0.130381776
0.92925952;1.929823279;0.067855671;0.130949454
0.93026304;1.936749101;0.067845941;0.131400564
0.93126656;1.943811059;0.067863725;0.131914259
0.93227008;1.950930595;0.067845292;0.132361457
0.9332736;1.957662821;0.067827001;0.132782399
0.93427712;1.964812279;0.067781977;0.133178861
0.93528064;1.971843362;0.067761734;0.133615526
0.93628416;1.979094267;0.067760438;0.134104294
0.93728768;1.986155272;0.06777925;0.134620116
0.9382912;1.993078113;0.067784838;0.135100478
0.93929472;2.000326157;0.06778276;0.135587627
0.94029824;2.007099152;0.067733839;0.135948531
0.94130176;2.014181614;0.067746818;0.136454395
0.94230528;2.02138567;0.06771905;0.136886317
0.9433088;2.028195858;0.067703478;0.137315914
0.94431232;2.035348177;0.067676358;0.137744952
0.94531584;2.042323589;0.067711651;0.138289103
0.94631936;2.049328327;0.067715026;0.138770322
0.94732288;2.056287289;0.067678176;0.139165773
0.9483264;2.063313484;0.06771373;0.139714652
0.94932992;2.07040453;0.067666762;0.14009757
0.95033344;2.077389717;0.067646131;0.140527377
0.95133696;2.084345818;0.067627445;0.140958982
0.95234048;2.091325998;0.067628741;0.141433745
0.953344;2.09839797;0.067639515;0.141934621
0.95434752;2.105414152;0.067633025;0.142395529
0.95535104;2.112519979;0.067635752;0.142881878
0.95635456;2.119420528;0.067622639;0.14332081
0.95735808;2.126421213;0.067619398;0.143787323
0.9583616;2.13357091;0.067583717;0.144194653
0.95936512;2.14074111;0.067555435;0.144618697
0.96036864;2.147738695;0.067564122;0.14511008
0.96137216;2.154645205;0.067559838;0.145567482
0.96237568;2.161667347;0.067567885;0.146059291
0.9633792;2.168905497;0.067556083;0.14652276
0.96438272;2.175816774;0.067534022;0.146941658
0.96538624;2.182829142;0.067527018;0.147399944
0.96638976;2.189732552;0.067517154;0.14784451
0.96739328;2.1968472;0.067506775;0.14830207
0.9683968;2.203853607;0.067479268;0.148714428
